,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
111,ANTONIO LISBOA CARNEIRO OLIVEIRA,ANTONIO DE ALEXANDRE,PÉ DE SERRA,DEM,ELEITO POR QP,493,0.0,0.0
112,JOSE ROBERTO DOS SANTOS,BETO DA ILHA,GLÓRIA,PP,ELEITO POR QP,490,0.0,6350.0
113,GILMAR COSTA DE FIGUEIREDO,GILMAR DO BURACO DAGUA,SERRA PRETA,PP,ELEITO POR QP,490,0.0,0.0
114,RONALDO GOMES LACERDA,RONALDO LACERDA,NOVA VIÇOSA,DEM,ELEITO POR QP,490,0.0,1840.0
115,JOSÉLIA ROSA RIBEIRO,CÉLIA DE VAN BASTER,ITAJUÍPE,PC do B,ELEITO POR QP,489,0.0,863.0
116,ADRIANA DOS SANTOS SILVA,ADRIANA SILVA,CACHOEIRA,PODE,ELEITO POR QP,489,0.0,100.0
117,DENISIO GOMES NOLASCO PEREIRA,TITAN DA ESCOLINHA,MACARANI,PL,ELEITO POR QP,488,0.0,205.72
118,ANAELSON PINHEIRO DE SANTANA,ANAELSON,OLINDINA,PSD,ELEITO POR QP,488,0.0,1760.0
119,JICLEDIO DA SILVA OLIVEIRA,JICLEDIO,SÃO DOMINGOS,PSD,ELEITO POR QP,487,0.0,4598.8
120,MARUSAN FERREIRA DOS ANJOS,MARUSAN DO BETIM,SÃO DESIDÉRIO,PSD,ELEITO POR MÉDIA,487,0.0,666.5
121,JOSE ARIVALDO FONSECA DA ROCHA,ZÉ ARIVALDO,OLINDINA,PSD,ELEITO POR MÉDIA,485,0.0,1760.0
122,CRISTIANO ALVES DOS SANTOS,CRISTIANO DE LOURO PAI VEI,CACHOEIRA,PSDB,ELEITO POR QP,484,0.0,0.0
123,SANDRO BARRETO DE SOUZA,SANDRO DA LAVRA VELHA,GENTIO DO OURO,PSD,ELEITO POR QP,484,0.0,1000.0
124,FRANCISCO BARBOZA DO NASCIMENTO,NASCIMENTO BARBOZA,RIACHÃO DAS NEVES,MDB,ELEITO POR QP,480,0.0,94.85
125,PAULO DA COSTA,PAULO RADIOLA,GUARATINGA,PT,ELEITO POR QP,480,0.0,1278.0
126,ABEL GLORIA MOREIRA,ABEL MOREIRA,MASCOTE,REPUBLICANOS,ELEITO POR QP,478,0.0,769.22
127,ANGELICA SAPUCAIA DA SILVA,ANGELICA SAPUCAIA,CACHOEIRA,PL,ELEITO POR QP,477,0.0,0.0
128,ADRIANO ALVES DOS SANTOS,DADÁ DE SEU GERSON,BURITIRAMA,PP,ELEITO POR QP,476,0.0,1150.0
129,JANILTON ALVES DE SOUZA,NILTON ALVES,MACARANI,PL,ELEITO POR QP,475,0.0,205.72
130,ANDRÉ SENA DE ALMEIDA,ANDRÉ DE AMANDA,GOVERNADOR MANGABEIRA,PT,ELEITO POR QP,474,0.0,0.0
131,GILMAR NASCIMENTO DA PAIXÃO,GILMAZÃO,ANGICAL,PP,ELEITO POR QP,474,0.0,2260.8999999999996
132,EPIFANIO SOUZA SANTOS,EPIFANIO,SERRA PRETA,PP,ELEITO POR MÉDIA,472,0.0,0.0
133,CELSO RIBEIRO DOS SANTOS,CELSINHO,BURITIRAMA,DEM,ELEITO POR QP,471,0.0,200.0
134,UILSON DE ANDRADE BASTOS,LICIO MECÂNICO,ANGUERA,PODE,ELEITO POR QP,470,0.0,0.0
135,ADENOR BRANDAO DE SAO LEAO,TOI,MACAJUBA,MDB,ELEITO POR QP,469,0.0,1045.0
136,CLAUDIO DOS ANJOS ALMEIDA,CLAUDIO DO BANCO,SANTA LUZIA,REPUBLICANOS,ELEITO POR QP,466,0.0,236.5
137,MARIA ALICE DE OLIVEIRA CARVALHO,ALICE DA PIMENTA,MASCOTE,PSD,ELEITO POR QP,465,0.0,969.22
138,ROMILDA DE OLIVEIRA SANTOS CARMO,ROMILDA,BOM JESUS DA SERRA,PC do B,ELEITO POR QP,463,0.0,200.0
139,FABIO JOSE ALMEIDA SANTOS,FÁBIO ALMEIDA,ITAJUÍPE,PP,ELEITO POR MÉDIA,463,0.0,755.0
140,JOSE ROBERTO MACHADO SOARES,ZE DA PRAIA,ESPLANADA,PSDB,ELEITO POR MÉDIA,462,0.0,115.91
141,ANTONIO CARLOS DOS SANTOS GOMES,TOIN DE BERENGA,IBIRATAIA,DEM,ELEITO POR MÉDIA,461,0.0,0.0
142,JOÃO SILVA SOUZA,JOÃO DO ROLO,BOQUIRA,PSB,ELEITO POR QP,459,0.0,1304.0
143,LAZARO PALMA DOS SANTOS,IRMÃO LÁZARO,SÃO SEBASTIÃO DO PASSÉ,PL,ELEITO POR MÉDIA,458,0.0,0.0
144,ELIENE ALVES DOS REIS SANTOS,ELIENE,BARRA DO MENDES,PL,ELEITO POR MÉDIA,454,0.0,2110.0
145,IVONE BATISTA DE SOUZA,IVONE,MUNDO NOVO,PSB,ELEITO POR QP,452,0.0,500.0
