,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
17275,ADEMILDES SANTOS DE SOUZA,ADEMILDES DA SAUDE,VERA CRUZ,PP,SUPLENTE,166,0.0,350.0,0.0
17274,LAZARO BOMFIM DOS ANJOS SILVA,LAZARO  FILMAGEM,VERA CRUZ,PP,SUPLENTE,20,0.0,0.0,0.0
17273,FERNANDO JORGE PEREIRA DE PINHO,JORGE PINHO,VERA CRUZ,PP,SUPLENTE,177,0.0,350.0,0.0
17272,AGUINALDO ALVES DE BRITO,NALDO BOCÃO,VERA CRUZ,PP,SUPLENTE,103,0.0,0.0,0.0
17271,EVANILDES LEITE BARROS,VANINHA,VERA CRUZ,PP,SUPLENTE,4,0.0,350.0,0.0
19638,REGINALDO DA CONCEIÇÃO,REGINALDO DAS MALVINAS,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,60,0.0,0.0,0.0
19639,EUGÊNIA ISABEL RIBEIRO DA SILVA MATOS,ISABEL MATOS,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,20,0.0,0.0,0.0
19640,GELSON MARCIANO DOS SANTOS,GEL DA RECICLAGEM,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,10,0.0,0.0,0.0
19641,JOEL DOS SANTOS DA SILVA,JOEL DO PORTO,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,101,0.0,0.0,0.0
17269,ADEMILSON LEITE PARAISO CAVALCANTE,PISSO,VERA CRUZ,PP,SUPLENTE,369,0.0,400.0,0.0
19644,JUAREZ DANTAS,JUÁ,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,32,0.0,0.0,0.0
17258,ELISEU NERI DA CRUZ,ELISEU DA UMBURANINHA,OLINDINA,PODE,NÃO ELEITO,33,0.0,780.0,0.0
19645,ANTÔNIO LIMA OLIVEIRA,TONHO PESCADOR,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,46,0.0,0.0,0.0
19646,ELVES ALVES DA SILVA,ELVES PINTOR,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,7,0.0,0.0,0.0
17268,ZORAIDE CAMPOS SANTANA,ZORAIDE,VERA CRUZ,PP,SUPLENTE,12,0.0,350.0,0.0
19648,SUELI DE OLIVEIRA,SUELI,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,21,0.0,0.0,0.0
19649,TAINÁ CONCEIÇÃO SANTOS,TAINÁ DA TOPIC,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,48,0.0,0.0,0.0
17265,AMANDA DA SILVA LEITE,AMANDA,OLINDINA,PODE,NÃO ELEITO,2,0.0,780.0,0.0
19652,CARMEN LÚCIA SOUSA DE MELO,CARMEN ACS,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,9,0.0,0.0,0.0
19653,ELIDIAN SANTOS SOUZA,ELIDIAN DA SAÚDE,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,26,0.0,0.0,0.0
17264,DIMAS FERREIRA DOS SANTOS ARAUJO,TAPETE,OLINDINA,PODE,NÃO ELEITO,31,0.0,780.0,0.0
17262,ANA LUCIA PEREIRA DE SANTANA,ANA  LUCIA,OLINDINA,PODE,NÃO ELEITO,2,0.0,0.0,0.0
17261,JOSE AGNALDO BORGES BATISTA,ZÉ AGNALDO,OLINDINA,PODE,NÃO ELEITO,171,0.0,1380.0,0.0
19657,DELMAR FERNANDES VASCONCELOS,DEMA,CAETITÉ,PSD,SUPLENTE,94,0.0,525.0,0.0
17259,HAMILTON PEREIRA DA SILVA,HAMILTON DAS CONTENDAS,OLINDINA,PODE,NÃO ELEITO,21,0.0,0.0,0.0
19703,JOSÉ MESSIAS SILVA,MESSIAS MEU QUERIDO,UNA,PODE,SUPLENTE,20,0.0,200.0,0.0
19704,IVAN HENS DE SOUZA,TIO BI,UNA,PODE,SUPLENTE,26,0.0,200.0,0.0
19705,RAMILE OLIVEIRA SILVA,RAMILLY OLIVEIRA,UNA,PODE,SUPLENTE,2,0.0,200.0,0.0
17092,EVERALDO SANTOS GOMES,EVERALDO GOMES,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,146,0.0,2439.0,0.0
